Rank,Inc. location,Inc. orphans,Inc. (%) location,Inc. (%) orphans
1,"Bogotá, D.C.",13038.193160360974,Aguada,2.3285339748874145
2,Medellín,4201.171883593699,Puerto Santander,1.8819885065276765
3,Cali,3628.099699413874,Sativasur,1.4187116726336708
4,Barranquilla,3099.202584042474,Cómbita,1.3958082563691643
5,Cartagena De Indias,2042.1126989303925,La Florida,1.3459005854235353
6,San José De Cúcuta,1589.0017722242783,Tibirita,1.2901845326273667
7,Santa Marta,1381.106458087057,Venecia,1.2715619991716403
8,Soacha,1233.6953154329638,Sucre,1.2573203982460248
9,Bucaramanga,1180.74235747651,Sativanorte,1.230507401326254
10,Valledupar,1129.6332122376507,Mutatá,1.225761173586774
11,Soledad,1103.9955192986808,Somondoco,1.2171855025015683
12,Villavicencio,1048.2666898080956,Chaguaní,1.20818079648514
13,Montería,948.7596874862315,La Peña,1.2070393859192392
14,Bello,934.0043287252731,San Benito,1.198915087496744
15,Ibagué,878.227693911559,Quípama,1.1975397407652988
16,Neiva,812.3231498126004,El Peñol,1.1953925140683248
17,Pereira,811.1510063539989,Labranzagrande,1.1861929172865406
18,Manizales,751.2361649962891,Ituango,1.1833434183693963
19,Pasto,698.6193988765797,San Bernardo,1.176462356505192
20,Buenaventura,648.5942026209136,San Lorenzo,1.1377039551623396
