dep,dep_name,gender,year,n_orp
5,Antioquia,Female,2015,2407.1604748392097
5,Antioquia,Female,2016,2332.361593747646
5,Antioquia,Female,2017,2342.648933935568
5,Antioquia,Female,2018,2407.589022595164
5,Antioquia,Female,2019,2386.998212640566
5,Antioquia,Female,2020,2797.423744443719
5,Antioquia,Female,2021,3472.7090387953153
5,Antioquia,Male,2015,6182.813206647797
5,Antioquia,Male,2016,6016.245986236289
5,Antioquia,Male,2017,5900.9014757205505
5,Antioquia,Male,2018,6225.010870906821
5,Antioquia,Male,2019,6067.1272274602225
5,Antioquia,Male,2020,7320.734885637758
5,Antioquia,Male,2021,9416.3748019864
8,Atlántico,Female,2015,969.9771800392311
8,Atlántico,Female,2016,915.1168953920221
8,Atlántico,Female,2017,932.8799818845507
8,Atlántico,Female,2018,947.2684886498714
8,Atlántico,Female,2019,975.7821906870644
8,Atlántico,Female,2020,1249.4752096738243
8,Atlántico,Female,2021,1540.6319166570477
8,Atlántico,Male,2015,2524.2445074011584
8,Atlántico,Male,2016,2391.9993908340316
8,Atlántico,Male,2017,2371.1967636519657
8,Atlántico,Male,2018,2471.5872180115757
8,Atlántico,Male,2019,2494.229099452062
8,Atlántico,Male,2020,3291.3029181139486
8,Atlántico,Male,2021,4219.291157092258
11,Bogotá,Female,2015,2518.9127882594266
11,Bogotá,Female,2016,2387.8188315935736
11,Bogotá,Female,2017,2372.351254314496
11,Bogotá,Female,2018,2284.229350924201
11,Bogotá,Female,2019,2370.3819941897173
11,Bogotá,Female,2020,2714.4081956034474
11,Bogotá,Female,2021,3576.462404494173
11,Bogotá,Male,2015,6283.800792255545
11,Bogotá,Male,2016,6002.81692817611
11,Bogotá,Male,2017,5817.333232725131
11,Bogotá,Male,2018,5762.88851168618
11,Bogotá,Male,2019,5868.565374054466
11,Bogotá,Male,2020,6889.440267635592
11,Bogotá,Male,2021,9461.730755866802
13,Bolívar,Female,2015,818.6476611193889
13,Bolívar,Female,2016,792.4953660137721
13,Bolívar,Female,2017,814.6801131280605
13,Bolívar,Female,2018,850.7887004333636
13,Bolívar,Female,2019,850.1412629368656
13,Bolívar,Female,2020,1131.9816081004083
13,Bolívar,Female,2021,1232.5880184685539
13,Bolívar,Male,2015,2229.0194299867367
13,Bolívar,Male,2016,2153.202034775606
13,Bolívar,Male,2017,2156.008730358645
13,Bolívar,Male,2018,2317.8480124710636
13,Bolívar,Male,2019,2257.441024402365
13,Bolívar,Male,2020,3111.967134552029
13,Bolívar,Male,2021,3530.3144749867224
15,Boyacá,Female,2015,471.2637773063131
15,Boyacá,Female,2016,448.8234650373291
15,Boyacá,Female,2017,440.2797665068466
15,Boyacá,Female,2018,435.0345741249324
15,Boyacá,Female,2019,430.6565160301601
15,Boyacá,Female,2020,518.7404237421363
15,Boyacá,Female,2021,627.8881737967292
15,Boyacá,Male,2015,1281.5494195572564
15,Boyacá,Male,2016,1225.4936830817105
15,Boyacá,Male,2017,1175.2927073548638
15,Boyacá,Male,2018,1192.5938574292059
