dep,dep_name,gender,year,n_orp
5,Antioquia,Female,2015,139.94306402771164
5,Antioquia,Female,2016,136.6886628250748
5,Antioquia,Female,2017,138.0310282230774
5,Antioquia,Female,2018,141.76406365440363
5,Antioquia,Female,2019,139.84926884315706
5,Antioquia,Female,2020,165.4165844222061
5,Antioquia,Female,2021,206.645398281511
5,Antioquia,Male,2015,359.4450114536253
5,Antioquia,Male,2016,352.5836736850065
5,Antioquia,Male,2017,347.68653823363906
5,Antioquia,Male,2018,366.5421419812556
5,Antioquia,Male,2019,355.4603862899864
5,Antioquia,Male,2020,432.8879250588813
5,Antioquia,Male,2021,560.3263906035388
8,Atlántico,Female,2015,127.47969985061161
8,Atlántico,Female,2016,120.16974583581215
8,Atlántico,Female,2017,122.00041639217153
8,Atlántico,Female,2018,122.10376864268618
8,Atlántico,Female,2019,122.22325468786308
8,Atlántico,Female,2020,156.52006720301412
8,Atlántico,Female,2021,192.360998559832
8,Atlántico,Male,2015,331.75000275783776
8,Atlántico,Male,2016,314.1084601140553
8,Atlántico,Male,2017,310.1009756141496
8,Atlántico,Male,2018,318.58983747938566
8,Atlántico,Male,2019,312.41889981365296
8,Atlántico,Male,2020,412.2970587492913
8,Atlántico,Male,2021,526.8143879259954
11,Bogotá,Female,2015,134.20105558054536
11,Bogotá,Female,2016,130.5092591975252
11,Bogotá,Female,2017,132.64696622932425
11,Bogotá,Female,2018,129.8931272701911
11,Bogotá,Female,2019,134.08177909694658
11,Bogotá,Female,2020,155.51643530966217
11,Bogotá,Female,2021,206.2327054813887
11,Bogotá,Male,2015,334.7843971848181
11,Bogotá,Male,2016,328.0915536928696
11,Bogotá,Male,2017,325.2686984959102
11,Bogotá,Male,2018,327.7077280306845
11,Bogotá,Male,2019,331.9581772173141
11,Bogotá,Male,2020,394.71631180488004
11,Bogotá,Male,2021,545.6001242643721
13,Bolívar,Female,2015,120.16021207112831
13,Bolívar,Female,2016,116.48946199854632
13,Bolívar,Female,2017,119.69387328155199
13,Bolívar,Female,2018,124.25826152143944
13,Bolívar,Female,2019,121.93614562997239
13,Bolívar,Female,2020,163.21947763182703
13,Bolívar,Female,2021,177.718481393078
13,Bolívar,Male,2015,327.1730442027257
13,Bolívar,Male,2016,316.50071074463125
13,Bolívar,Male,2017,316.76363717117334
13,Bolívar,Male,2018,338.5232600690094
13,Bolívar,Male,2019,323.78578655467857
13,Bolívar,Male,2020,448.71192824534074
13,Bolívar,Male,2021,509.01202829649947
15,Boyacá,Female,2015,134.48393469542498
15,Boyacá,Female,2016,128.90768669303523
