mun,mun_name,gender,year,n_orp
5001,Medellín,Female,2015,821.0848899863337
5002,Abejorral,Female,2015,8.09219272481245
5004,Abriaquí,Female,2015,0.9191796416120629
5021,Alejandría,Female,2015,1.7056054652854737
5030,Amagá,Female,2015,10.814491198427465
5031,Amalfi,Female,2015,10.508571785579534
5034,Andes,Female,2015,17.627302086978876
5036,Angelópolis,Female,2015,2.198384635043061
5038,Angostura,Female,2015,5.038231069114051
5040,Anorí,Female,2015,7.027391667045408
5042,Santa Fé De Antioquia,Female,2015,10.349333439435778
5044,Anzá,Female,2015,3.0025943027382134
5045,Apartadó,Female,2015,65.69928516982948
5051,Arboletes,Female,2015,12.90530494778346
5055,Argelia,Female,2015,3.4785962475835372
5059,Armenia,Female,2015,2.031044861989641
5079,Barbosa,Female,2015,17.994199330125852
5086,Belmira,Female,2015,2.4101183984504173
5088,Bello,Female,2015,170.08845128528912
5091,Betania,Female,2015,4.613845146862511
5093,Betulia,Female,2015,8.353984851551902
5101,Ciudad Bolívar,Female,2015,13.910363959670708
5107,Briceño,Female,2015,3.9595211777460517
5113,Buriticá,Female,2015,3.506404084162384
5120,Cáceres,Female,2015,17.23649169008415
5125,Caicedo,Female,2015,3.6716701942483607
5129,Caldas,Female,2015,27.364612826085846
5134,Campamento,Female,2015,3.970683404974868
5138,Cañasgordas,Female,2015,6.041539339110063
5142,Caracolí,Female,2015,1.751568493321283
5145,Caramanta,Female,2015,1.921272291702461
5147,Carepa,Female,2015,20.297756130125222
5148,El Carmen De Viboral,Female,2015,19.01508104132119
5150,Carolina,Female,2015,1.689080007186988
5154,Caucasia,Female,2015,44.258627549283524
5172,Chigorodó,Female,2015,31.20330079626453
5190,Cisneros,Female,2015,4.830440087658791
5197,Cocorná,Female,2015,6.5206788906488296
5206,Concepción,Female,2015,1.789684380101991
5209,Concordia,Female,2015,9.550114074089821
5212,Copacabana,Female,2015,25.46474813359624
5234,Dabeiba,Female,2015,8.935646514795314
5237,Donmatías,Female,2015,7.397621058939218
5240,Ebéjico,Female,2015,4.786753561749346
5250,El Bagre,Female,2015,25.03811023016141
5264,Entrerríos,Female,2015,3.734264121649943
5266,Envigado,Female,2015,77.97485997325143
5282,Fredonia,Female,2015,9.007778478851218
5284,Frontino,Female,2015,8.245068605830316
5306,Giraldo,Female,2015,1.9373943923738854
5308,Girardota,Female,2015,16.695484578571364
5310,Gómez Plata,Female,2015,4.17220889842811
5313,Granada,Female,2015,4.4562138131402795
5315,Guadalupe,Female,2015,2.518307217431322
5318,Guarne,Female,2015,17.909765310405188
5321,Guatapé,Female,2015,2.521683880867179
5347,Heliconia,Female,2015,2.1541674569148674
5353,Hispania,Female,2015,2.145259231370999
5360,Itagüí,Female,2015,92.54011425957849
5361,Ituango,Female,2015,9.070171812956769
5364,Jardín,Female,2015,5.776745558295307
5368,Jericó,Female,2015,4.946008883603881
5376,La Ceja,Female,2015,21.032944850242426
5380,La Estrella,Female,2015,23.555939882355464
5390,La Pintada,Female,2015,3.311327506760861
5400,La Unión,Female,2015,7.773515863510953
5411,Liborina,Female,2015,4.0245750178261295
5425,Maceo,Female,2015,4.048427098587807
5440,Marinilla,Female,2015,19.979254264697726
5467,Montebello,Female,2015,2.9604015667109977
5475,Murindó,Female,2015,1.860792709273504
5480,Mutatá,Female,2015,9.245352057130697
5483,Nariño,Female,2015,4.359626382123239
5490,Necoclí,Female,2015,19.47522435845264
5495,Nechí,Female,2015,10.116811356060008
5501,Olaya,Female,2015,1.0943121280005526
5541,Peñol,Female,2015,7.041399045796337
5543,Peque,Female,2015,3.190011145843192
5576,Pueblorrico,Female,2015,3.643880100159553
5579,Puerto Berrío,Female,2015,20.310731167985608
5585,Puerto Nare,Female,2015,5.534520730510153
5591,Puerto Triunfo,Female,2015,6.301440155322724
5604,Remedios,Female,2015,11.73811031742019
5607,Retiro,Female,2015,7.435367361297108
5615,Rionegro,Female,2015,42.756793785122206
5628,Sabanalarga,Female,2015,3.4680061379568947
5631,Sabaneta,Female,2015,28.69027809710984
5642,Salgar,Female,2015,19.497742061563617
5647,San Andrés De Cuerquía,Female,2015,3.13593260978642
5649,San Carlos,Female,2015,5.951145067944469
5652,San Francisco,Female,2015,2.5371603946926795
5656,San Jerónimo,Female,2015,5.553218007567598
5658,San José De La Montaña,Female,2015,1.6200214686826313
5659,San Juan De Urabá,Female,2015,8.84107256970142
5660,San Luis,Female,2015,4.808515482832763
5664,San Pedro De Los Milagros,Female,2015,10.412603852446349
5665,San Pedro De Urabá,Female,2015,13.613182738110265
5667,San Rafael,Female,2015,6.216999975933662
5670,San Roque,Female,2015,8.19510063241288
5674,San Vicente Ferrer,Female,2015,7.84940618001374
5679,Santa Bárbara,Female,2015,9.896830902831939
5686,Santa Rosa De Osos,Female,2015,13.048223956087647
5690,Santo Domingo,Female,2015,4.871851522914541
5697,El Santuario,Female,2015,12.056638106673663
5736,Segovia,Female,2015,20.90243121887735
5756,Sonsón,Female,2015,14.043161179596149
5761,Sopetrán,Female,2015,5.3864608727450625
5789,Támesis,Female,2015,6.484096024883491
5790,Tarazá,Female,2015,23.488926705944507
5792,Tarso,Female,2015,2.7126501879893237
5809,Titiribí,Female,2015,4.023580050965543
5819,Toledo,Female,2015,2.207707826576655
5837,Turbo,Female,2015,77.35984275602767
5842,Uramita,Female,2015,2.830524742865291
5847,Urrao,Female,2015,11.561761522381342
5854,Valdivia,Female,2015,6.666825570340844
5856,Valparaíso,Female,2015,2.327022355607476
5858,Vegachí,Female,2015,5.1454428605159945
