mun,mun_name,gender,year,n_orp
5001,Medellín,Female,2015,1.4401429781960178
5002,Abejorral,Female,2015,1.358868442693403
5004,Abriaquí,Female,2015,1.1699663419835693
5021,Alejandría,Female,2015,1.150762718771642
5030,Amagá,Female,2015,1.3837641918248222
5031,Amalfi,Female,2015,1.2274582251793207
5034,Andes,Female,2015,1.43008096575658
5036,Angelópolis,Female,2015,1.3139580552178216
5038,Angostura,Female,2015,1.2947785746254274
5040,Anorí,Female,2015,1.0462964035767714
5042,Santa Fé De Antioquia,Female,2015,1.3381036317776873
5044,Anzá,Female,2015,1.2463294428574878
5045,Apartadó,Female,2015,1.6164848854151508
5051,Arboletes,Female,2015,1.1073452352500353
5055,Argelia,Female,2015,1.19670090162076
5059,Armenia,Female,2015,1.4697229858204341
5079,Barbosa,Female,2015,1.4059278534888786
5086,Belmira,Female,2015,1.159999065180497
5088,Bello,Female,2015,1.315156157702119
5091,Betania,Female,2015,1.3306771660003007
5093,Betulia,Female,2015,1.5319820129993282
5101,Ciudad Bolívar,Female,2015,1.7516149242408
5107,Briceño,Female,2015,1.2563662791954844
5113,Buriticá,Female,2015,1.0738447185923126
5120,Cáceres,Female,2015,1.4304886253110682
5125,Caicedo,Female,2015,1.2637312632944675
5129,Caldas,Female,2015,1.560755301617469
5134,Campamento,Female,2015,1.1426125589092624
5138,Cañasgordas,Female,2015,1.172347563885733
5142,Caracolí,Female,2015,1.2935601890912172
5145,Caramanta,Female,2015,1.4339390796864038
5147,Carepa,Female,2015,1.1925311410752761
5148,El Carmen De Viboral,Female,2015,1.1136474795737403
5150,Carolina,Female,2015,1.8726017377850004
5154,Caucasia,Female,2015,1.3629434594712695
5172,Chigorodó,Female,2015,1.4866020443245476
5190,Cisneros,Female,2015,1.824218566914613
5197,Cocorná,Female,2015,1.2278161798559108
5206,Concepción,Female,2015,1.2876022907250542
5209,Concordia,Female,2015,1.4864805588138787
5212,Copacabana,Female,2015,1.4710515922244345
5234,Dabeiba,Female,2015,0.8917449608671942
5237,Donmatías,Female,2015,1.3327021284462017
5240,Ebéjico,Female,2015,1.4846604937262995
5250,El Bagre,Female,2015,1.2072763356018388
5264,Entrerríos,Female,2015,1.1014432902056952
5266,Envigado,Female,2015,1.8855251366402004
5282,Fredonia,Female,2015,1.4799353441112006
5284,Frontino,Female,2015,0.9855882720240715
5306,Giraldo,Female,2015,1.029799350009381
5308,Girardota,Female,2015,1.359795652345658
5310,Gómez Plata,Female,2015,1.547586635319559
5313,Granada,Female,2015,1.1435013964864364
5315,Guadalupe,Female,2015,1.2174751469068608
5318,Guarne,Female,2015,1.3452280378372985
5321,Guatapé,Female,2015,1.1754830381572379
5347,Heliconia,Female,2015,1.5109321231528121
5353,Hispania,Female,2015,1.353965991863745
5360,Itagüí,Female,2015,1.5226705051600742
5361,Ituango,Female,2015,1.1165400398468945
5364,Jardín,Female,2015,1.4570201652376502
5368,Jericó,Female,2015,1.4102904831266179
5376,La Ceja,Female,2015,1.317021718751496
5380,La Estrella,Female,2015,1.4820163167726779
5390,La Pintada,Female,2015,1.323739266904653
5400,La Unión,Female,2015,1.2685129192343183
5411,Liborina,Female,2015,1.2934727693384593
5425,Maceo,Female,2015,1.4350216857702633
5440,Marinilla,Female,2015,1.0943180181597723
5467,Montebello,Female,2015,1.5477357594211811
5475,Murindó,Female,2015,0.7531059624146335
5480,Mutatá,Female,2015,1.5481332535932506
5483,Nariño,Female,2015,1.1973379822127483
5490,Necoclí,Female,2015,1.1039789281815078
5495,Nechí,Female,2015,0.9614612100922151
5501,Olaya,Female,2015,1.1590190731801484
5541,Peñol,Female,2015,1.205676754484971
5543,Peque,Female,2015,1.0519225504971843
5576,Pueblorrico,Female,2015,1.3329130218716663
5579,Puerto Berrío,Female,2015,1.7397473785565418
5585,Puerto Nare,Female,2015,1.2082873579794133
5591,Puerto Triunfo,Female,2015,1.153876091929163
5604,Remedios,Female,2015,1.1194481781721517
5607,Retiro,Female,2015,1.3528471165532794
5615,Rionegro,Female,2015,1.372290009542197
5628,Sabanalarga,Female,2015,1.0506784207722624
5631,Sabaneta,Female,2015,1.8055184025546966
5642,Salgar,Female,2015,3.389399497325337
5647,San Andrés De Cuerquía,Female,2015,1.1521064419973372
5649,San Carlos,Female,2015,1.09094135963934
5652,San Francisco,Female,2015,1.1620334934268766
5656,San Jerónimo,Female,2015,1.2798527952741443
5658,San José De La Montaña,Female,2015,1.2575981394486313
5659,San Juan De Urabá,Female,2015,1.057129036857878
5660,San Luis,Female,2015,0.9908408335535714
5664,San Pedro De Los Milagros,Female,2015,1.6222058980214613
5665,San Pedro De Urabá,Female,2015,1.1605397883795383
5667,San Rafael,Female,2015,1.3127897765950467
5670,San Roque,Female,2015,1.2016809435482076
5674,San Vicente Ferrer,Female,2015,1.2246107407975892
5679,Santa Bárbara,Female,2015,1.4196257321663217
5686,Santa Rosa De Osos,Female,2015,1.1428997175431446
5690,Santo Domingo,Female,2015,1.3395760934020673
5697,El Santuario,Female,2015,1.029593476553095
5736,Segovia,Female,2015,1.6038030282888234
5756,Sonsón,Female,2015,1.2391784762589972
5761,Sopetrán,Female,2015,1.2779650013938988
5789,Támesis,Female,2015,1.4914652890750104
5790,Tarazá,Female,2015,2.185394126203025
5792,Tarso,Female,2015,1.4625761883144888
5809,Titiribí,Female,2015,1.4526682973869607
5819,Toledo,Female,2015,1.186109273506834
5837,Turbo,Female,2015,1.55734734662408
5842,Uramita,Female,2015,1.0794804139913454
5847,Urrao,Female,2015,1.0546352262213503
5854,Valdivia,Female,2015,1.2416194089534425
5856,Valparaíso,Female,2015,1.272369453248316
5858,Vegachí,Female,2015,1.2779494945299468
5861,Venecia,Female,2015,1.664263725803996
5873,Vigía Del Fuerte,Female,2015,0.8901575299512373
5885,Yalí,Female,2015,1.1377035096489274
5887,Yarumal,Female,2015,1.6188458219869082
5890,Yolombó,Female,2015,1.242841513969361
5893,Yondó,Female,2015,1.271213143342589
