nat,nat_name,gender,year,n_orp
1,Colombia,Female,2015,18114.762772523063
1,Colombia,Female,2016,17453.91671929118
1,Colombia,Female,2017,17413.10736244797
1,Colombia,Female,2018,17911.27015469235
1,Colombia,Female,2019,18070.917421460574
1,Colombia,Female,2020,22103.72293360499
1,Colombia,Female,2021,26713.80952742152
1,Colombia,Male,2015,48300.08525970864
1,Colombia,Male,2016,46676.73165303796
1,Colombia,Male,2017,44894.27280008127
1,Colombia,Male,2018,47335.94198139517
1,Colombia,Male,2019,46699.559290441866
1,Colombia,Male,2020,58999.19474758468
1,Colombia,Male,2021,73939.91386225275
