nat,nat_name,gender,year,n_orp
1,Colombia,Female,2015,128.67290799394178
1,Colombia,Female,2016,124.60667391090983
1,Colombia,Female,2017,124.65990616942098
1,Colombia,Female,2018,127.77663030114347
1,Colombia,Female,2019,127.57899606145708
1,Colombia,Female,2020,156.3605117535831
1,Colombia,Female,2021,189.2760928283544
1,Colombia,Male,2015,343.0854990907732
1,Colombia,Male,2016,333.2336445657881
1,Colombia,Male,2017,321.39673398394245
1,Colombia,Male,2018,337.688344057976
1,Colombia,Male,2019,329.6945446561352
1,Colombia,Male,2020,417.35703580306716
1,Colombia,Male,2021,523.8885148726714
