reg,reg_name,gender,year,n_orp
1,Caribe,Female,2015,4199.911506945758
1,Caribe,Female,2016,4056.042612293674
1,Caribe,Female,2017,4130.967985755345
1,Caribe,Female,2018,4421.639629783342
1,Caribe,Female,2019,4449.408498852517
1,Caribe,Female,2020,5829.627836529386
1,Caribe,Female,2021,6741.498401278012
1,Caribe,Male,2015,11734.143358838599
1,Caribe,Male,2016,11355.933620147343
1,Caribe,Male,2017,10772.30832973922
1,Caribe,Male,2018,11809.776863735262
1,Caribe,Male,2019,11599.214441637288
1,Caribe,Male,2020,15700.776185597106
1,Caribe,Male,2021,18875.111647770194
2,Eje cafetero y Antioquia,Female,2015,3356.2476421933816
2,Eje cafetero y Antioquia,Female,2016,3251.0616549208576
2,Eje cafetero y Antioquia,Female,2017,3220.3968448444043
2,Eje cafetero y Antioquia,Female,2018,3284.213837897563
2,Eje cafetero y Antioquia,Female,2019,3249.310126398706
2,Eje cafetero y Antioquia,Female,2020,3800.8535377801227
2,Eje cafetero y Antioquia,Female,2021,4703.959492525292
2,Eje cafetero y Antioquia,Male,2015,8695.593208521852
2,Eje cafetero y Antioquia,Male,2016,8448.104184337648
2,Eje cafetero y Antioquia,Male,2017,8168.261529382965
2,Eje cafetero y Antioquia,Male,2018,8537.708889558293
2,Eje cafetero y Antioquia,Male,2019,8294.4655467207
2,Eje cafetero y Antioquia,Male,2020,10010.151862381725
2,Eje cafetero y Antioquia,Male,2021,12817.007118983707
3,Pacífica,Female,2015,3162.1132374151935
3,Pacífica,Female,2016,3017.243110307402
3,Pacífica,Female,2017,2949.9281634384347
3,Pacífica,Female,2018,3069.0560981729554
3,Pacífica,Female,2019,3067.4122513281523
3,Pacífica,Female,2020,3644.9772761228637
3,Pacífica,Female,2021,4318.580957709004
3,Pacífica,Male,2015,8176.685814848296
3,Pacífica,Male,2016,7815.044186289667
3,Pacífica,Male,2017,7436.648507412547
3,Pacífica,Male,2018,7890.360824260642
3,Pacífica,Male,2019,7701.863877374522
3,Pacífica,Male,2020,9446.288011465558
3,Pacífica,Male,2021,11611.118958958737
4,Central,Female,2015,6301.431992432389
4,Central,Female,2016,6061.277880190691
4,Central,Female,2017,6045.533715859302
4,Central,Female,2018,6031.396906149246
4,Central,Female,2019,6177.783946677871
4,Central,Female,2020,7403.588920079383
4,Central,Female,2021,9281.19231681639
4,Central,Male,2015,16576.050283627854
4,Central,Male,2016,16023.91883448788
4,Central,Male,2017,15583.24287555006
4,Central,Male,2018,15974.789951271157
4,Central,Male,2019,16015.286462837721
4,Central,Male,2020,19829.857626082867
4,Central,Male,2021,25766.38297402016
5,Llanos,Female,2015,697.8278944746784
5,Llanos,Female,2016,681.0821402029137
5,Llanos,Female,2017,660.4074506088643
5,Llanos,Female,2018,691.1718519590081
5,Llanos,Female,2019,709.2446699960077
5,Llanos,Female,2020,860.0136785951173
5,Llanos,Female,2021,1053.3191112919856
5,Llanos,Male,2015,1982.311452476266
5,Llanos,Male,2016,1930.5850476591395
5,Llanos,Male,2017,1820.3477673311486
5,Llanos,Male,2018,1952.8363574582022
5,Llanos,Male,2019,1936.9851412286296
5,Llanos,Male,2020,2429.631058913613
5,Llanos,Male,2021,3077.3383687419014
6,Amazonía,Female,2015,397.2304990616625
6,Amazonía,Female,2016,387.2093213756452
6,Amazonía,Female,2017,405.87320194161936
6,Amazonía,Female,2018,413.79183073023694
6,Amazonía,Female,2019,417.75792820732
6,Amazonía,Female,2020,564.6616844981183
6,Amazonía,Female,2021,615.259247800836
6,Amazonía,Male,2015,1135.3011413957754
6,Amazonía,Male,2016,1103.1457801162842
6,Amazonía,Male,2017,1113.463790665334
6,Amazonía,Male,2018,1170.4690951116092
6,Amazonía,Male,2019,1151.7438206430047
6,Amazonía,Male,2020,1582.4900031438156
6,Amazonía,Male,2021,1792.9547937780496
