reg,reg_name,gender,year,n_orp
1,Caribe,Female,2015,118.00812550321756
1,Caribe,Female,2016,113.683640125242
1,Caribe,Female,2017,115.24964339184459
1,Caribe,Female,2018,121.91593264570308
1,Caribe,Female,2019,120.13745528695506
1,Caribe,Female,2020,157.07482165432026
1,Caribe,Female,2021,181.05581338579762
1,Caribe,Male,2015,329.70319966802475
1,Caribe,Male,2016,318.28656509822054
1,Caribe,Male,2017,300.5360239514018
1,Caribe,Male,2018,325.62580427896154
1,Caribe,Male,2019,313.1877207285824
1,Caribe,Male,2020,423.0452935148757
1,Caribe,Male,2021,506.927167925593
2,Eje cafetero y Antioquia,Female,2015,143.67014046986256
2,Eje cafetero y Antioquia,Female,2016,140.5040935025401
2,Eje cafetero y Antioquia,Female,2017,140.11972960872168
2,Eje cafetero y Antioquia,Female,2018,142.98345255169858
2,Eje cafetero y Antioquia,Female,2019,140.93688670050807
2,Eje cafetero y Antioquia,Female,2020,166.14271930380772
2,Eje cafetero y Antioquia,Female,2021,206.95540732165668
2,Eje cafetero y Antioquia,Male,2015,372.2303092392414
2,Eje cafetero y Antioquia,Male,2016,365.10941539319185
2,Eje cafetero y Antioquia,Male,2017,355.40172594032066
2,Eje cafetero y Antioquia,Male,2018,371.7026826401337
2,Eje cafetero y Antioquia,Male,2019,359.76749079813794
2,Eje cafetero y Antioquia,Male,2020,437.56325639201333
2,Eje cafetero y Antioquia,Male,2021,563.8970601615113
3,Pacífica,Female,2015,129.66602562824463
3,Pacífica,Female,2016,124.56297707020424
3,Pacífica,Female,2017,122.51957421014501
3,Pacífica,Female,2018,127.85095903814641
3,Pacífica,Female,2019,128.71638342797942
3,Pacífica,Female,2020,152.60717320866274
3,Pacífica,Female,2021,181.97539150554005
3,Pacífica,Male,2015,335.29423926920924
3,Pacífica,Male,2016,322.63398545974457
3,Pacífica,Male,2017,308.8668463087851
3,Pacífica,Male,2018,328.6972170822446
3,Pacífica,Male,2019,323.1897060856421
3,Pacífica,Male,2020,395.49528063945235
3,Pacífica,Male,2021,489.2667149384234
4,Central,Female,2015,132.09816319103615
4,Central,Female,2016,128.2261507794157
4,Central,Female,2017,128.65883775509622
4,Central,Female,2018,128.08776532740595
4,Central,Female,2019,129.23303239673155
4,Central,Female,2020,155.84700681775396
4,Central,Female,2021,195.6160390729141
4,Central,Male,2015,347.48701534177303
4,Central,Male,2016,338.9855197471198
4,Central,Male,2017,331.6368762552965
4,Central,Male,2018,339.25393706835416
4,Central,Male,2019,335.023699786043
4,Central,Male,2020,417.4224136439616
4,Central,Male,2021,543.0679169831611
5,Llanos,Female,2015,117.17710722356306
5,Llanos,Female,2016,113.97147666853557
5,Llanos,Female,2017,109.96151924183734
5,Llanos,Female,2018,114.01869454331292
5,Llanos,Female,2019,115.74339437790562
5,Llanos,Female,2020,139.52578518351905
5,Llanos,Female,2021,170.55468594299336
5,Llanos,Male,2015,332.86362361907146
5,Llanos,Male,2016,323.0618096230707
5,Llanos,Male,2017,303.0980432756689
5,Llanos,Male,2018,322.14832172781837
5,Llanos,Male,2019,316.10140278760286
5,Llanos,Male,2020,394.17533655389855
5,Llanos,Male,2021,498.2862965215924
6,Amazonía,Female,2015,104.91799166012245
6,Amazonía,Female,2016,102.26179073628924
6,Amazonía,Female,2017,107.1980301421617
6,Amazonía,Female,2018,109.34091782613096
6,Amazonía,Female,2019,110.17078039910193
6,Amazonía,Female,2020,147.8530816581244
6,Amazonía,Female,2021,161.08193963066
6,Amazonía,Male,2015,299.8599452108016
6,Amazonía,Male,2016,291.3402562652448
6,Amazonía,Male,2017,294.0847644607908
6,Amazonía,Male,2018,309.28635038727566
6,Amazonía,Male,2019,303.7369418327649
6,Amazonía,Male,2020,414.3649730120263
6,Amazonía,Male,2021,469.41616381091615
